,First Semester -Mechanics(106)- Internals 2,,,,,,
,,,,,,,
Roll.No,,Name,,,Marks Obtained,,
11001,, Arav Arora,,,20,,
11002,, Aditya Sengupta,,,15,,
11003,,Vishnu Lata,,,15,,
11004,,Vihaan Sen,,,13,,
11005,,Nirvik Bhattacharya,,,23,,
11006,,Arjun Kapoor,,,16,,
11007,,Akshit Bhatia,,,13,,
11008,,Reyansh Roy,,,12,,
11009,,Arnav Paul,,,17,,
11010,,Ayaan Sinha,,,18,,
11011,,Krishna Shaw,,,19,,
11012,,Ishaan Mukherjee,,,13,,
11013,,Pranav Adhikari,,,15,,
11014,,Alia Agarwal,,,16,,
11015,,Madhabi Ahuliawala,,,10,,
11016,,Vignesh Gupta,,,15,,
11017,,Ahona Sen,,,12,,
11018,,Anirban Das Gupta,,,15,,
11019,,Ankan Saha,,,14,,
11020,,Nikita Roy Chowdhury,,,13,,
11021,,Niharika Sen Gupta,,,17,,
11022,,Alok Lata,,,14,,
11023,,Dhruv Singhania,,,14,,
11024,,Shibendu Sarkar,,,21,,
11025,,Garima Faizal,,,24,,
11026,,Neel Adhikari,,,12,,
11027,,Yogendra Pallav,,,16,,
11028,,Neelanjana Banerjee,,,23,,
11029,,Anusree Kundu,,,21,,
11030,,Aishwarya Sen,,,22,,
